Skill,Assignment,Student,Speed,PercentCorrect,MasterySpeed,HintUsage,Complete
H,8,1,15.783741723,0.75,4,0.25,1
I,9,1,10.4240525917,0.714285714286,7,0.142857142857,1
D,10,1,8.1532035151,0.8,5,0.0,1
I,11,1,9.09049353862,1.0,3,0.0,1
J,12,1,10.7948087444,1.0,3,0.0,1
A,13,1,12.5131576919,0.666666666667,6,0.0,1
B,14,1,9.03001758786,1.0,3,0.0,1
C,15,1,17.510198408,0.5,10,0.0,1
D,16,1,9.48597395073,0.777777777778,9,0.0,1
A,1,2,10.9020700382,0.5,8,0.25,1
B,2,2,11.4351058331,0.5,14,0.142857142857,1
C,3,2,13.0016310491,0.75,4,0.25,1
D,4,2,10.9744493722,0.52380952381,21,0.047619047619,1
C,5,2,15.0155618252,0.5,24,0.0833333333333,1
D,6,2,15.1154736967,0.8,5,0.2,1
E,7,2,6.6254019506,0.8,5,0.0,1
F,8,2,11.3864151018,0.346153846154,26,0.0769230769231,1
G,9,2,10.2665890579,1.0,3,0.0,1
H,10,2,6.69738392703,0.833333333333,6,0.0,1
I,11,2,13.4657803873,0.5,6,0.166666666667,1
D,12,2,6.085180572,1.0,3,0.0,1
F,13,2,19.4502656635,0.375,8,0.125,1
G,14,2,10.3883723389,0.5,8,0.125,1
E,15,2,9.14561347414,1.0,3,0.0,1
H,16,2,8.74323144757,0.4,15,0.0666666666667,1
J,17,2,12.4668380058,0.75,4,0.0,1
A,18,2,11.4083829002,0.307692307692,26,0.0769230769231,1
B,19,2,9.66914645027,1.0,3,0.0,1
C,20,2,12.3530865972,0.384615384615,13,0.0769230769231,1
F,21,2,15.5478798582,0.545454545455,11,0.0909090909091,1
H,22,2,7.53658908162,0.636363636364,11,0.0909090909091,1
J,23,2,12.7059621065,0.4,15,0.0666666666667,1
A,1,3,10.928686766,0.555555555556,9,0.111111111111,1
B,2,3,9.29226202442,0.714285714286,7,0.142857142857,1
C,3,3,9.02824400918,1.0,3,0.0,1
D,4,3,9.05022944906,0.666666666667,6,0.0,1
C,5,3,6.21311327362,0.714285714286,7,0.0,1
D,6,3,1.41035875988,1.0,3,0.0,1
E,7,3,8.74212238518,0.8,5,0.0,1
F,8,3,10.4898292793,0.75,4,0.0,1
G,9,3,8.16026889324,0.666666666667,6,0.166666666667,1
H,10,3,12.8042354807,1.0,3,0.0,1
I,11,3,10.5136127328,0.75,4,0.0,1
D,12,3,11.4505063214,1.0,3,0.0,1
F,13,3,10.2204790357,0.666666666667,9,0.0,1
G,14,3,10.4393588936,0.666666666667,9,0.0,1
J,15,3,10.7401491643,0.6,10,0.0,1
A,16,3,10.1988893602,0.666666666667,12,0.0,1
F,17,3,7.21505240961,0.555555555556,9,0.0,1
G,18,3,8.26885264395,1.0,3,0.0,1
I,19,3,11.1271286539,0.833333333333,6,0.0,1
A,1,4,8.58896231886,0.714285714286,7,0.0,1
B,2,4,7.30215708984,0.636363636364,11,0.0,1
C,3,4,19.4243926591,1.0,3,0.0,1
D,4,4,7.45905364101,1.0,3,0.0,1
B,5,4,7.2389572516,0.75,8,0.0,1
D,6,4,7.12051564437,0.7,10,0.2,1
E,7,4,3.73474340819,1.0,3,0.0,1
F,8,4,11.6046691011,0.538461538462,13,0.0769230769231,1
G,9,4,0.2132834294,0.75,4,0.0,1
H,10,4,7.42013020897,0.6,10,0.1,1
I,11,4,7.61813406768,0.75,8,0.125,1
F,12,4,9.63502733084,0.444444444444,9,0.0,1
G,13,4,6.2900537067,0.666666666667,9,0.0,1
E,14,4,1.60848862312,1.0,3,0.0,1
H,15,4,6.23848972745,0.6,10,0.0,1
J,16,4,6.03918479308,0.714285714286,7,0.0,1
A,17,4,9.29023835875,0.555555555556,9,0.111111111111,1
D,18,4,4.63672729155,0.75,4,0.0,1
E,19,4,4.2507880667,0.75,4,0.25,1
F,20,4,11.1146491072,0.666666666667,6,0.0,1
J,21,4,10.5021261724,0.5,12,0.25,1
A,1,5,10.9568625653,0.555555555556,27,0.037037037037,1
B,2,5,6.66564332095,0.666666666667,6,0.166666666667,1
C,3,5,11.4717368388,0.75,4,0.25,1
D,4,5,11.2568021414,0.422222222222,45,0.0666666666667,1
C,5,5,12.7029391226,0.444444444444,9,0.111111111111,1
D,6,5,9.50445563374,0.5,12,0.0833333333333,1
E,7,5,7.79992119873,0.529411764706,17,0.0588235294118,1
F,8,5,11.627013648,0.24,50,0.06,0
G,9,5,9.4893464304,0.4,50,0.02,0
H,10,5,6.02456213476,1.0,3,0.0,1
I,11,5,11.6588559446,0.393939393939,33,0.030303030303,1
D,12,5,7.16762010993,0.75,4,0.0,1
F,13,5,13.2363071451,0.272727272727,11,0.0909090909091,1
G,14,5,17.2433663508,0.75,4,0.25,1
E,15,5,9.85737012154,1.0,3,0.0,1
I,16,5,7.09146798568,0.6,10,0.0,1
H,17,5,5.57924251698,0.44,25,0.04,1
J,18,5,13.1224993503,0.326530612245,49,0.0408163265306,1
A,19,5,8.33108256828,0.571428571429,14,0.0,1
B,20,5,8.03354675668,0.6,5,0.2,1
C,21,5,15.601131094,0.6,5,0.0,1
D,22,5,11.0361606031,0.470588235294,17,0.0588235294118,1
E,23,5,9.40203879289,0.538461538462,13,0.153846153846,1
F,24,5,13.8987655112,0.342105263158,38,0.0,1
G,25,5,8.29601429765,0.75,4,0.0,1
I,26,5,10.4403353986,0.666666666667,6,0.0,1
J,27,5,13.6625072493,0.3,20,0.05,1
A,1,6,7.16869866015,0.428571428571,14,0.0714285714286,1
B,2,6,5.83127988098,0.555555555556,9,0.111111111111,1
C,3,6,9.81486108032,0.6,10,0.1,1
D,4,6,7.97280813817,0.6,15,0.0,1
A,5,6,6.94648216082,0.413793103448,29,0.0,1
B,6,6,4.15123246036,0.75,4,0.0,1
C,7,6,11.2480749628,0.6,5,0.2,1
D,8,6,10.0209859729,0.416666666667,12,0.0833333333333,1
E,9,6,5.38081738504,0.692307692308,13,0.0,1
F,10,6,10.2538584914,0.428571428571,21,0.0,1
G,11,6,8.11329055852,0.538461538462,13,0.0769230769231,1
H,12,6,8.49544660749,0.466666666667,15,0.0666666666667,1
I,13,6,7.30064066743,0.571428571429,14,0.0,1
D,14,6,6.04614633027,0.714285714286,7,0.0,1
F,15,6,13.3367879119,0.466666666667,15,0.0666666666667,1
G,16,6,11.0192788832,0.666666666667,6,0.166666666667,1
E,17,6,4.83225430267,0.615384615385,13,0.0769230769231,1
H,18,6,6.47381665446,0.666666666667,6,0.0,1
J,19,6,8.9942341616,0.295454545455,44,0.0227272727273,1
A,20,6,6.13379856989,0.41935483871,31,0.0322580645161,1
D,21,6,7.41514812534,0.75,8,0.0,1
F,22,6,9.47915959111,0.4,15,0.133333333333,1
H,23,6,6.83714462701,0.470588235294,17,0.0,1
I,24,6,6.1563460958,0.6,15,0.0,1
J,25,6,9.50092053315,0.4,35,0.0857142857143,1
A,1,7,9.20439312396,0.666666666667,9,0.111111111111,1
B,2,7,6.93401476477,0.411764705882,17,0.0,1
C,3,7,11.5995994263,0.5625,16,0.0,1
D,4,7,16.0207609457,0.428571428571,7,0.285714285714,1
A,5,7,5.18476889472,0.75,4,0.0,1
B,6,7,5.59274324428,0.5,8,0.125,1
D,7,7,7.67746282302,0.75,4,0.0,1
E,8,7,10.8118165001,0.444444444444,9,0.222222222222,1
F,9,7,11.6805486353,0.452380952381,42,0.0,1
G,10,7,9.16766318914,0.666666666667,6,0.0,1
H,11,7,7.72101629051,0.5,36,0.0555555555556,1
I,12,7,4.2463622962,1.0,3,0.0,1
G,13,7,11.2766801921,0.454545454545,11,0.0909090909091,1
I,14,7,11.4020307889,0.5,6,0.166666666667,1
H,15,7,7.87909193297,0.571428571429,14,0.0714285714286,1
J,16,7,5.69945268569,0.5,8,0.0,1
A,17,7,9.6999903615,0.45,20,0.2,1
B,18,7,11.1477232184,0.5,12,0.333333333333,1
C,19,7,12.612274513,0.357142857143,14,0.142857142857,1
E,20,7,4.88117028783,0.571428571429,7,0.142857142857,1
F,21,7,11.4548707227,0.424242424242,33,0.0606060606061,1
I,22,7,8.00287917396,0.434782608696,23,0.0869565217391,1
J,23,7,7.45895587137,0.714285714286,7,0.0,1
A,1,8,8.44385259909,0.777777777778,9,0.0,1
B,2,8,4.4686217064,1.0,3,0.0,1
C,3,8,16.6141490732,1.0,3,0.0,1
D,4,8,8.07206128751,0.833333333333,6,0.0,1
A,5,8,5.6059980943,0.8,5,0.0,1
D,6,8,10.4060227822,0.8,5,0.0,1
E,7,8,5.98287957204,1.0,3,0.0,1
F,8,8,15.2937701385,0.714285714286,7,0.0,1
G,9,8,11.8293288748,0.833333333333,6,0.0,1
H,10,8,7.93251993508,0.75,8,0.0,1
I,11,8,14.3429964468,1.0,3,0.0,1
E,12,8,2.72424846174,1.0,3,0.0,1
I,13,8,8.46681245776,0.6,5,0.0,1
J,14,8,8.60749155716,1.0,3,0.0,1
B,15,8,4.03653042343,0.8,5,0.0,1
F,16,8,11.9561316247,0.833333333333,6,0.0,1
G,17,8,7.30565177657,1.0,3,0.0,1
H,18,8,4.30899202231,1.0,3,0.0,1
I,19,8,10.0655709283,0.833333333333,6,0.0,1
A,1,9,4.30299025703,1.0,3,0.0,1
B,2,9,12.3593066726,1.0,3,0.0,1
C,3,9,10.7451627525,0.75,4,0.0,1
D,4,9,9.52283945117,1.0,3,0.0,1
D,5,9,12.8116571752,0.75,4,0.0,1
E,6,9,6.52552026244,1.0,3,0.0,1
F,7,9,16.4779896904,0.75,8,0.0,1
G,8,9,16.0127700796,1.0,3,0.0,1
H,9,9,8.95473059229,0.833333333333,6,0.0,1
I,10,9,16.6551120554,0.75,4,0.0,1
E,11,9,4.17024370697,1.0,3,0.0,1
I,12,9,9.2242311554,0.8,5,0.0,1
H,13,9,6.59589924492,1.0,3,0.0,1
J,14,9,11.963058857,1.0,3,0.0,1
A,1,10,13.4018835674,0.5,8,0.0,1
B,2,10,11.7878376018,0.6,5,0.2,1
C,3,10,12.8905109479,0.52,25,0.08,1
D,4,10,9.72734007115,0.75,4,0.0,1
A,5,10,15.2494756465,0.571428571429,7,0.0,1
B,6,10,8.31006249576,0.5,8,0.125,1
D,7,10,8.72028384436,0.571428571429,7,0.0,1
E,8,10,8.30123894391,0.625,16,0.0,1
F,9,10,17.5260605762,0.423076923077,26,0.0,1
G,10,10,12.3861661096,0.571428571429,7,0.0,1
H,11,10,9.89658760892,0.666666666667,6,0.166666666667,1
I,12,10,13.6263790836,0.571428571429,14,0.0714285714286,1
F,13,10,11.4692708794,0.727272727273,11,0.0909090909091,1
G,14,10,12.9717064647,0.428571428571,7,0.285714285714,1
J,15,10,11.1639555778,0.428571428571,7,0.142857142857,1
A,16,10,9.99305429476,0.5,6,0.166666666667,1
B,17,10,12.5060208361,0.538461538462,13,0.153846153846,1
C,18,10,15.3290779912,0.666666666667,9,0.111111111111,1
D,19,10,11.6749689791,0.541666666667,24,0.0416666666667,1
E,20,10,6.2064009443,0.545454545455,11,0.0,1
F,21,10,14.6947838222,0.45,20,0.05,1
G,22,10,9.10829708814,0.545454545455,11,0.0,1
J,23,10,16.5822790272,0.421052631579,38,0.105263157895,1
A,1,11,12.6007498476,1.0,3,0.0,1
B,2,11,8.47593395222,1.0,3,0.0,1
C,3,11,26.0061263159,1.0,3,0.0,1
D,4,11,7.14607949155,1.0,3,0.0,1
A,5,11,11.1764354922,0.8,5,0.0,1
C,6,11,16.2108974784,0.714285714286,7,0.0,1
D,7,11,7.81950995991,0.444444444444,9,0.0,1
E,8,11,6.22509733676,1.0,3,0.0,1
F,9,11,15.1190576238,0.75,8,0.0,1
G,10,11,17.4970402188,1.0,3,0.0,1
H,11,11,7.62848314125,1.0,3,0.0,1
I,12,11,14.9840096607,0.714285714286,7,0.0,1
F,13,11,11.6882911308,0.576923076923,26,0.0,1
J,14,11,24.4547742624,1.0,3,0.0,1
A,15,11,14.2479218987,1.0,3,0.0,1
A,1,12,8.37555442736,0.571428571429,7,0.0,1
B,2,12,7.87679613954,0.529411764706,17,0.0588235294118,1
C,3,12,13.0685070119,0.333333333333,9,0.111111111111,1
D,4,12,18.8610384309,0.75,4,0.25,1
A,5,12,13.0805973001,0.6,5,0.0,1
E,6,12,6.81143135281,0.666666666667,6,0.166666666667,1
F,7,12,13.536505794,0.65,20,0.0,1
G,8,12,6.73355546839,1.0,3,0.0,1
H,9,12,6.68545327084,1.0,3,0.0,1
I,10,12,11.7449047204,0.75,4,0.0,1
D,11,12,12.9023213974,0.666666666667,12,0.0,1
F,12,12,14.1881747656,0.636363636364,11,0.0,1
J,13,12,13.9871025718,0.625,8,0.0,1
B,14,12,14.7027141415,0.6,5,0.2,1
F,15,12,6.82022074377,0.727272727273,11,0.0,1
G,16,12,7.07193207833,1.0,3,0.0,1
H,17,12,9.55413207939,1.0,3,0.0,1
A,1,13,8.3463976195,0.625,8,0.125,1
B,2,13,6.57744238334,0.6,15,0.133333333333,1
C,3,13,11.2523443289,0.5,10,0.0,1
D,4,13,11.2247449773,1.0,3,0.0,1
A,5,13,11.5892904385,0.444444444444,18,0.0555555555556,1
B,6,13,6.80626746501,0.5,14,0.0714285714286,1
D,7,13,13.8834147433,0.75,4,0.25,1
E,8,13,7.11213523275,0.666666666667,6,0.0,1
F,9,13,11.9530643444,0.3,30,0.0,1
G,10,13,9.97872841915,0.571428571429,7,0.285714285714,1
H,11,13,8.34942443303,0.466666666667,15,0.2,1
I,12,13,11.5057740065,0.5,8,0.125,1
F,13,13,14.6929597191,0.538461538462,13,0.0769230769231,1
E,14,13,9.57005671077,0.5625,16,0.125,1
J,15,13,8.95005736571,0.384615384615,13,0.153846153846,1
B,16,13,7.86651436222,0.428571428571,14,0.142857142857,1
C,17,13,10.8314622314,0.48,25,0.12,1
D,18,13,14.7647751692,0.461538461538,13,0.0769230769231,1
E,19,13,13.0306262893,1.0,3,0.0,1
G,20,13,7.5919076707,0.555555555556,9,0.0,1
J,21,13,7.48569645701,1.0,3,0.0,1
A,1,14,5.92885924579,1.0,3,0.0,1
B,2,14,4.10265717051,1.0,3,0.0,1
C,3,14,7.53741035287,1.0,3,0.0,1
D,4,14,5.5313549525,1.0,3,0.0,1
A,5,14,5.85492734406,0.571428571429,7,0.0,1
C,6,14,6.47723615445,1.0,3,0.0,1
E,7,14,5.2031441124,0.666666666667,6,0.0,1
F,8,14,12.0225762628,0.75,4,0.0,1
G,9,14,8.83960404756,0.8,5,0.0,1
H,10,14,5.3389025336,1.0,3,0.0,1
I,11,14,12.1088136312,0.8,5,0.0,1
J,12,14,9.20266424491,1.0,3,0.0,1
D,13,14,8.39045013094,0.8,5,0.0,1
H,14,14,5.17985643781,0.75,4,0.0,1
A,1,15,11.9310029856,1.0,3,0.0,1
B,2,15,9.74791771873,0.6,5,0.2,1
C,3,15,11.3487200711,0.625,8,0.0,1
D,4,15,13.9521772867,1.0,3,0.0,1
E,5,15,8.37940281878,0.555555555556,9,0.0,1
F,6,15,19.4940645467,0.571428571429,7,0.142857142857,1
G,7,15,8.66763479228,0.833333333333,6,0.0,1
H,8,15,6.08971860056,1.0,3,0.0,1
I,9,15,8.79561836075,1.0,3,0.0,1
D,10,15,8.56787294439,1.0,3,0.0,1
H,11,15,2.25426519118,1.0,3,0.0,1
J,12,15,11.9592067522,1.0,3,0.0,1
F,13,15,10.3712519249,0.666666666667,6,0.0,1
G,14,15,12.0354634426,0.545454545455,11,0.0909090909091,1
H,15,15,4.35580623861,1.0,3,0.0,1
A,1,16,11.9049871414,0.533333333333,15,0.0666666666667,1
B,2,16,7.58733722182,0.37037037037,27,0.111111111111,1
C,3,16,5.89617034921,1.0,3,0.0,1
D,4,16,12.1470609383,0.6,10,0.1,1
A,5,16,9.39671053849,0.6,10,0.0,1
B,6,16,8.1468284906,1.0,3,0.0,1
C,7,16,19.6671756839,0.416666666667,12,0.0833333333333,1
D,8,16,9.40395176894,0.333333333333,21,0.0,1
E,9,16,3.76189012951,1.0,3,0.0,1
F,10,16,13.9010914152,0.5,10,0.0,1
G,11,16,15.8687604869,0.6,5,0.4,1
H,12,16,8.60240204595,0.833333333333,6,0.166666666667,1
I,13,16,8.17986407721,0.75,4,0.0,1
D,14,16,9.85057143199,0.625,8,0.0,1
F,15,16,15.4448563605,0.375,8,0.0,1
G,16,16,15.0043987911,1.0,3,0.0,1
E,17,16,6.0118007504,0.75,4,0.0,1
I,18,16,17.7873629022,0.75,4,0.25,1
H,19,16,6.39281103956,0.526315789474,19,0.0526315789474,1
J,20,16,12.6846527845,0.538461538462,13,0.0,1
C,21,16,11.1632528091,0.666666666667,12,0.0833333333333,1
I,22,16,11.8668111778,0.571428571429,7,0.285714285714,1
J,23,16,12.6876811182,0.3,50,0.02,0
A,1,17,6.88617389903,0.6,5,0.0,1
B,2,17,9.38841711143,0.625,8,0.25,1
C,3,17,12.7949329933,0.391304347826,23,0.0869565217391,1
D,4,17,6.79303231366,0.8,5,0.0,1
A,5,17,10.5950162588,0.555555555556,9,0.111111111111,1
B,6,17,6.27507746035,0.75,4,0.0,1
C,7,17,11.4989633614,0.6,10,0.0,1
D,8,17,13.6504566941,0.555555555556,9,0.222222222222,1
E,9,17,4.17203854482,0.6,5,0.0,1
F,10,17,11.8730474555,0.454545454545,11,0.0909090909091,1
G,11,17,8.08786419734,0.571428571429,7,0.142857142857,1
H,12,17,7.15726001668,0.5625,16,0.0,1
I,13,17,14.0240511054,0.5625,16,0.25,1
D,14,17,11.8223323832,0.666666666667,6,0.0,1
F,15,17,11.2137315301,0.7,10,0.0,1
E,16,17,4.93236431784,0.75,8,0.0,1
I,17,17,9.27953755839,1.0,3,0.0,1
H,18,17,5.35239556704,0.75,4,0.0,1
J,19,17,10.8860059438,1.0,3,0.0,1
B,20,17,9.55285843099,0.5,8,0.125,1
C,21,17,11.4295152012,0.625,8,0.125,1
D,22,17,16.5002360104,0.6,5,0.4,1
F,23,17,10.5683122372,0.714285714286,7,0.142857142857,1
I,24,17,9.76966725574,0.714285714286,7,0.0,1
J,25,17,4.37253071416,1.0,3,0.0,1
A,1,18,6.38000339525,0.6,15,0.0,1
B,2,18,7.46107493257,0.833333333333,6,0.0,1
C,3,18,6.53715629038,0.75,8,0.0,1
D,4,18,12.9716988702,0.6,5,0.0,1
A,5,18,10.5052354036,1.0,3,0.0,1
B,6,18,3.86354786611,0.75,8,0.0,1
E,7,18,7.50864698929,0.833333333333,6,0.0,1
F,8,18,11.8500374662,0.5,18,0.0,1
G,9,18,15.1508459197,1.0,3,0.0,1
H,10,18,7.61496096224,0.5625,16,0.125,1
I,11,18,13.0425814452,0.6,5,0.2,1
D,12,18,8.82110091768,0.575757575758,33,0.0,1
G,13,18,8.82094041318,1.0,3,0.0,1
J,14,18,10.4899593582,0.666666666667,6,0.166666666667,1
C,15,18,7.69840750074,0.666666666667,6,0.0,1
D,16,18,13.8071935655,0.666666666667,6,0.166666666667,1
E,17,18,10.1945675185,1.0,3,0.0,1
F,18,18,7.26052187117,0.545454545455,11,0.0,1
I,19,18,5.00261225631,1.0,3,0.0,1
A,1,19,12.8107383632,0.666666666667,6,0.166666666667,1
B,2,19,6.30251895122,0.833333333333,6,0.0,1
C,3,19,17.0681063741,0.473684210526,19,0.0526315789474,1
D,4,19,16.0562750918,0.75,4,0.0,1
A,5,19,16.8326109839,1.0,3,0.0,1
B,6,19,7.1680402304,1.0,3,0.0,1
C,7,19,16.9268739357,0.8,5,0.2,1
E,8,19,6.43549107065,0.666666666667,12,0.0,1
F,9,19,12.2839277748,0.5,14,0.0,1
G,10,19,13.6523352127,0.666666666667,9,0.111111111111,1
H,11,19,9.97068217132,0.833333333333,6,0.0,1
I,12,19,8.49931072229,0.625,8,0.0,1
D,13,19,9.06266574204,0.545454545455,11,0.0,1
F,14,19,13.9216768859,0.434782608696,23,0.0434782608696,1
G,15,19,9.44975094396,0.75,4,0.0,1
I,16,19,13.7257906213,0.727272727273,11,0.0,1
H,17,19,6.09553033531,0.625,8,0.125,1
J,18,19,12.8821879599,0.833333333333,6,0.0,1
A,19,19,15.29323031,0.75,4,0.0,1
B,20,19,8.69980582045,0.666666666667,6,0.166666666667,1
D,21,19,11.9176593034,0.5,6,0.166666666667,1
F,22,19,15.9899932831,0.5,10,0.1,1
I,23,19,11.8787491121,0.833333333333,6,0.166666666667,1
J,24,19,13.8830440207,0.45,20,0.1,1
A,1,20,12.1214950074,0.8,5,0.2,1
B,2,20,8.80572003413,0.6,5,0.2,1
C,3,20,9.41638960757,1.0,3,0.0,1
D,4,20,8.74868003917,0.625,8,0.125,1
A,5,20,10.1065304549,0.428571428571,7,0.0,1
B,6,20,3.85058332454,0.75,8,0.0,1
C,7,20,14.5951310744,0.75,4,0.25,1
E,8,20,5.9170667911,0.461538461538,13,0.0,1
F,9,20,13.9866643112,0.727272727273,11,0.0909090909091,1
G,10,20,8.6470423432,0.533333333333,15,0.0666666666667,1
H,11,20,5.51262143067,0.75,4,0.0,1
I,12,20,10.8235183466,0.75,4,0.0,1
I,13,20,6.64695495087,0.666666666667,6,0.166666666667,1
J,14,20,10.7229902305,0.444444444444,36,0.0,1
A,15,20,9.15469456709,0.75,4,0.0,1
D,16,20,7.52754554371,0.428571428571,21,0.047619047619,1
H,17,20,6.73252795834,0.583333333333,24,0.0,1
J,18,20,1.69952821699,0.75,4,0.0,1
A,1,21,7.97655884775,0.666666666667,9,0.111111111111,1
B,2,21,12.6503826869,0.6,5,0.4,1
C,3,21,13.6075110292,0.571428571429,7,0.142857142857,1
D,4,21,11.0131019071,0.75,4,0.0,1
B,5,21,6.98207007487,0.5,14,0.0,1
C,6,21,12.6157864944,0.833333333333,6,0.0,1
E,7,21,10.60951598,1.0,3,0.0,1
F,8,21,14.5258303857,0.615384615385,13,0.0769230769231,1
G,9,21,11.0516531354,0.6,5,0.0,1
H,10,21,3.38044813098,0.75,4,0.0,1
I,11,21,8.31243976178,1.0,3,0.0,1
D,12,21,9.6626678185,0.608695652174,23,0.0,1
G,13,21,11.8696157764,0.636363636364,11,0.0,1
H,14,21,6.76427236737,1.0,3,0.0,1
J,15,21,9.34813023115,1.0,3,0.0,1
A,16,21,7.42575091147,0.75,4,0.0,1
B,17,21,6.9967966304,0.478260869565,23,0.0,1
D,18,21,11.6739298438,0.625,8,0.125,1
E,19,21,14.0319248067,1.0,3,0.0,1
F,20,21,13.6882123336,0.571428571429,7,0.0,1
G,21,21,10.3259243184,0.75,4,0.25,1
H,22,21,9.975438473,0.583333333333,12,0.166666666667,1
I,23,21,9.7135259907,0.434782608696,23,0.0434782608696,1
J,24,21,14.7828801668,0.384615384615,39,0.0,1
A,1,22,5.18513437257,0.666666666667,9,0.111111111111,1
B,2,22,5.20985896543,0.5,12,0.0,1
C,3,22,5.06366976213,0.625,8,0.0,1
D,4,22,9.90479858597,0.8,5,0.0,1
C,5,22,10.5327620975,0.444444444444,9,0.111111111111,1
E,6,22,8.90448423907,0.75,8,0.125,1
F,7,22,13.0395288349,0.666666666667,12,0.0,1
G,8,22,6.64432650506,0.571428571429,7,0.0,1
H,9,22,8.36656282894,0.545454545455,11,0.181818181818,1
I,10,22,14.0470206773,0.6,5,0.2,1
D,11,22,9.93830844392,0.8,5,0.0,1
G,12,22,12.353905995,0.75,4,0.0,1
E,13,22,5.26297248177,1.0,3,0.0,1
H,14,22,8.77026881912,0.6,5,0.0,1
J,15,22,9.5319437586,0.5,20,0.05,1
B,16,22,10.1585211894,0.714285714286,7,0.0,1
C,17,22,10.6897851952,1.0,3,0.0,1
E,18,22,8.24732759624,1.0,3,0.0,1
F,19,22,18.7354378393,1.0,3,0.0,1
G,20,22,4.37238462942,0.666666666667,9,0.0,1
H,21,22,5.29330659596,0.642857142857,14,0.0714285714286,1
I,22,22,10.549152558,0.571428571429,7,0.0,1
A,1,23,12.7812572914,0.6,5,0.4,1
B,2,23,8.20015100985,0.533333333333,15,0.133333333333,1
C,3,23,14.4031918518,0.375,24,0.166666666667,1
D,4,23,10.1039725441,0.454545454545,44,0.0454545454545,1
A,5,23,6.62100029286,1.0,3,0.0,1
B,6,23,6.84364310867,0.6,5,0.0,1
C,7,23,15.5097565823,0.5,10,0.1,1
D,8,23,10.5817153622,0.47619047619,21,0.047619047619,1
E,9,23,8.98444837357,0.75,4,0.25,1
F,10,23,10.5571695538,0.428571428571,14,0.142857142857,1
G,11,23,12.1126825258,0.466666666667,15,0.0666666666667,1
H,12,23,5.80566133754,0.625,8,0.0,1
I,13,23,10.9187677205,0.48275862069,29,0.0344827586207,1
D,14,23,11.5623366683,0.545454545455,22,0.0909090909091,1
F,15,23,13.526922365,0.379310344828,29,0.0344827586207,1
I,16,23,11.2297971127,0.533333333333,15,0.0666666666667,1
H,17,23,10.7283813736,1.0,3,0.0,1
J,18,23,14.3937358881,0.41935483871,31,0.0322580645161,1
A,19,23,10.4514094591,0.555555555556,9,0.0,1
B,20,23,9.74172711968,0.388888888889,18,0.111111111111,1
C,21,23,13.6407904124,0.470588235294,17,0.0588235294118,1
E,22,23,7.76927647529,0.642857142857,14,0.142857142857,1
I,23,23,10.1153959669,0.5,12,0.0833333333333,1
J,24,23,13.9253384286,0.38,50,0.02,0
A,1,24,11.5371960535,0.6,5,0.0,1
B,2,24,9.26124517184,0.714285714286,7,0.0,1
C,3,24,8.90758187439,0.666666666667,9,0.0,1
D,4,24,13.0287757684,1.0,3,0.0,1
E,5,24,12.1778187977,1.0,3,0.0,1
F,6,24,15.6061994908,0.578947368421,19,0.0,1
G,7,24,14.1844186007,0.75,4,0.0,1
H,8,24,7.09124846998,1.0,3,0.0,1
I,9,24,7.36622491918,0.75,4,0.0,1
D,10,24,4.29227434025,0.555555555556,9,0.111111111111,1
F,11,24,12.4156903601,0.56,25,0.0,1
G,12,24,8.83635761148,0.75,4,0.0,1
E,13,24,9.58244257508,0.8,5,0.0,1
